"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Nov 12 19:40:19 GMT+03:00 2022","Sat Nov 12 19:40:25 GMT+03:00 2022","5825","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","wrongAutorizationClient","Авторизация клиента ошибочная",""
"passed","Sat Nov 12 19:39:26 GMT+03:00 2022","Sat Nov 12 19:39:58 GMT+03:00 2022","32818","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","addIncomingPackage","Добавление ожидаемой посылки",""
"passed","Sat Nov 12 19:39:58 GMT+03:00 2022","Sat Nov 12 19:40:06 GMT+03:00 2022","7540","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","successfulAutorisationClient","Успешная авторизация клиента",""
"passed","Sat Nov 12 19:40:11 GMT+03:00 2022","Sat Nov 12 19:40:19 GMT+03:00 2022","8116","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","registrationClientWithoutReferralLink","Регистрация клиента без реферального кода",""
"passed","Sat Nov 12 19:40:06 GMT+03:00 2022","Sat Nov 12 19:40:11 GMT+03:00 2022","5104","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","","com.igorsbox.ForwardCDEKClient.ForwardCDEKPageObjectTest","successfulAuthorizationOperator","Авторизация оператора",""
